stop_loss,take_profit,total_trades,wins,losses,win_rate,net_pips,avg_win,avg_loss,profit_factor,largest_win,largest_loss
5,10,5,3,2,60.0,12.599999999998168,7.533333333332355,-4.999999999999449,2.2599999999999554,9.999999999998899,-4.999999999999449
5,15,5,3,2,60.0,22.600000000001508,10.866666666666802,-4.999999999999449,3.2600000000003995,15.000000000000568,-4.999999999999449
5,20,5,2,3,40.0,7.600000000000939,11.299999999999644,-4.999999999999449,1.5066666666667852,20.000000000000018,-4.999999999999449
5,25,5,2,3,40.0,12.600000000000389,13.799999999999368,-4.999999999999449,1.8400000000001184,24.999999999999467,-4.999999999999449
5,30,5,1,4,20.0,-17.399999999998528,2.5999999999992696,-4.999999999999449,0.1299999999999778,2.5999999999992696,-4.999999999999449
10,10,5,3,2,60.0,2.5999999999992696,7.533333333332355,-9.999999999998899,1.1299999999999777,9.999999999998899,-9.999999999998899
10,15,5,3,2,60.0,12.60000000000261,10.866666666666802,-9.999999999998899,1.6300000000001997,15.000000000000568,-9.999999999998899
10,20,5,2,3,40.0,-7.399999999997409,11.299999999999644,-9.999999999998899,0.7533333333333926,20.000000000000018,-9.999999999998899
10,25,5,2,3,40.0,-2.3999999999979593,13.799999999999368,-9.999999999998899,0.9200000000000592,24.999999999999467,-9.999999999998899
10,30,5,1,4,20.0,-32.89999999999793,2.5999999999992696,-8.8749999999993,0.07323943661970352,2.5999999999992696,-9.999999999998899
15,10,5,4,1,80.0,17.599999999995397,8.149999999998991,-15.000000000000568,2.173333333332982,9.999999999998899,-15.000000000000568
15,15,5,4,1,80.0,32.600000000000406,11.900000000000244,-15.000000000000568,3.1733333333332783,15.000000000000568,-15.000000000000568
15,20,5,3,2,60.0,12.599999999998168,14.199999999999768,-15.000000000000568,1.419999999999923,20.000000000000018,-15.000000000000568
15,25,5,3,2,60.0,22.599999999997067,17.533333333332735,-15.000000000000568,1.753333333333207,24.999999999999467,-15.000000000000568
15,30,5,2,3,40.0,-2.9000000000034554,16.299999999999095,-11.833333333333881,0.9183098591548361,29.999999999998916,-15.000000000000568
20,10,5,5,0,100.0,42.599999999994864,8.519999999998973,0,42.599999999994864,9.999999999998899,0
20,15,5,5,0,100.0,62.60000000000154,12.520000000000309,0,62.60000000000154,15.000000000000568,0
20,20,5,4,1,80.0,37.30000000000011,14.325000000000031,-20.000000000000018,2.8650000000000038,20.000000000000018,-20.000000000000018
20,25,5,4,1,80.0,47.299999999999,16.824999999999758,-20.000000000000018,3.3649999999999487,24.999999999999467,-20.000000000000018
20,30,5,3,2,60.0,21.799999999998487,15.766666666666337,-12.750000000000261,1.854901960784237,29.999999999998916,-20.000000000000018
