stop_loss,take_profit,total_trades,wins,losses,win_rate,net_pips,avg_win,avg_loss,profit_factor,largest_win,largest_loss
5,10,5,3,2,60.0,13.299999999998313,7.766666666665738,-4.999999999999449,2.329999999999978,9.999999999998899,-4.999999999999449
5,15,5,2,3,40.0,3.300000000001635,9.149999999999991,-4.999999999999449,1.2200000000001332,15.000000000000568,-4.999999999999449
5,20,5,1,4,20.0,-16.699999999998383,3.2999999999994145,-4.999999999999449,0.1649999999999889,3.2999999999994145,-4.999999999999449
5,25,5,1,4,20.0,-16.699999999998383,3.2999999999994145,-4.999999999999449,0.1649999999999889,3.2999999999994145,-4.999999999999449
10,10,5,3,2,60.0,3.2999999999994145,7.766666666665738,-9.999999999998899,1.164999999999989,9.999999999998899,-9.999999999998899
10,15,5,2,3,40.0,-11.699999999996713,9.149999999999991,-9.999999999998899,0.6100000000000666,15.000000000000568,-9.999999999998899
10,20,5,1,4,20.0,-36.69999999999618,3.2999999999994145,-9.999999999998899,0.08249999999999445,3.2999999999994145,-9.999999999998899
10,25,5,1,4,20.0,-36.69999999999618,3.2999999999994145,-9.999999999998899,0.08249999999999445,3.2999999999994145,-9.999999999998899
15,10,5,4,1,80.0,18.299999999995542,8.324999999999028,-15.000000000000568,2.2199999999996565,9.999999999998899,-15.000000000000568
15,15,5,3,2,60.0,3.2999999999994145,11.100000000000184,-15.000000000000568,1.1099999999999763,15.000000000000568,-15.000000000000568
15,20,5,3,2,60.0,13.299999999998313,14.43333333333315,-15.000000000000568,1.4433333333332603,20.000000000000018,-15.000000000000568
15,25,5,3,2,60.0,23.299999999997212,17.766666666666115,-15.000000000000568,1.7766666666665443,24.999999999999467,-15.000000000000568
20,10,5,4,1,80.0,13.299999999996093,8.324999999999028,-20.000000000000018,1.664999999999804,9.999999999998899,-20.000000000000018
20,15,5,3,2,60.0,-6.699999999999484,11.100000000000184,-20.000000000000018,0.832500000000013,15.000000000000568,-20.000000000000018
20,20,5,3,2,60.0,3.2999999999994145,14.43333333333315,-20.000000000000018,1.0824999999999854,20.000000000000018,-20.000000000000018
20,25,5,3,2,60.0,13.299999999998313,17.766666666666115,-20.000000000000018,1.3324999999999576,24.999999999999467,-20.000000000000018
