Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
227,Exit short,2026-01-09 12:55,Exit Short,10100.3,1,10092.3,-8,-0.08,2.2,0.02,-8,-0.08,216.3,8.65
227,Entry short,2026-01-09 11:59,Short,10092.3,1,10092.3,-8,-0.08,2.2,0.02,-8,-0.08,216.3,8.65
228,Exit short,2026-01-09 13:08,Exit Short,10108.8,1,10100.8,-8,-0.08,1.3,0.01,-8,-0.08,208.3,8.33
228,Entry short,2026-01-09 12:58,Short,10100.8,1,10100.8,-8,-0.08,1.3,0.01,-8,-0.08,208.3,8.33
229,Exit short,2026-01-09 13:21,Exit Short,10118.8,1,10110.8,-8,-0.08,3.8,0.04,-8,-0.08,200.3,8.01
229,Entry short,2026-01-09 13:11,Short,10110.8,1,10110.8,-8,-0.08,3.8,0.04,-8,-0.08,200.3,8.01
230,Exit short,2026-01-09 13:29,Exit Short,10122.3,1,10114.3,-8,-0.08,0,0.00,-8,-0.08,192.3,7.69
230,Entry short,2026-01-09 13:27,Short,10114.3,1,10114.3,-8,-0.08,0,0.00,-8,-0.08,192.3,7.69
231,Exit short,2026-01-09 13:33,Exit Short,10119.4,1,10127.4,8,0.08,8,0.08,-3.6,-0.04,200.3,8.01
231,Entry short,2026-01-09 13:31,Short,10127.4,1,10127.4,8,0.08,8,0.08,-3.6,-0.04,200.3,8.01
232,Exit long,2026-01-09 14:11,Exit Long,10102.4,1,10094.4,8,0.08,8,0.08,-4.9,-0.05,208.3,8.33
232,Entry long,2026-01-09 14:03,Long,10094.4,1,10094.4,8,0.08,8,0.08,-4.9,-0.05,208.3,8.33
233,Exit short,2026-01-09 14:49,Exit Short,10121.1,1,10113.1,-8,-0.08,3.8,0.04,-8,-0.08,200.3,8.01
233,Entry short,2026-01-09 14:43,Short,10113.1,1,10113.1,-8,-0.08,3.8,0.04,-8,-0.08,200.3,8.01
234,Exit short,2026-01-09 14:53,Exit Short,10126.8,1,10118.8,-8,-0.08,0.8,0.01,-8,-0.08,192.3,7.69
234,Entry short,2026-01-09 14:50,Short,10118.8,1,10118.8,-8,-0.08,0.8,0.01,-8,-0.08,192.3,7.69
235,Exit short,2026-01-09 15:04,Exit Short,10116.8,1,10124.8,8,0.08,8,0.08,-6,-0.06,200.3,8.01
235,Entry short,2026-01-09 14:56,Short,10124.8,1,10124.8,8,0.08,8,0.08,-6,-0.06,200.3,8.01
236,Exit short,2026-01-09 16:30,Exit Short,10123.9,1,10131.9,8,0.08,8,0.08,-3.9,-0.04,208.3,8.33
236,Entry short,2026-01-09 16:10,Short,10131.9,1,10131.9,8,0.08,8,0.08,-3.9,-0.04,208.3,8.33
237,Exit short,2026-01-09 18:00,Exit Short,10125.9,1,10133.9,8,0.08,8,0.08,-7.2,-0.07,216.3,8.65
237,Entry short,2026-01-09 17:07,Short,10133.9,1,10133.9,8,0.08,8,0.08,-7.2,-0.07,216.3,8.65
238,Exit long,2026-01-09 18:37,Exit Long,10135.9,1,10127.9,8,0.08,8,0.08,-1.4,-0.01,224.3,8.97
238,Entry long,2026-01-09 18:06,Long,10127.9,1,10127.9,8,0.08,8,0.08,-1.4,-0.01,224.3,8.97
239,Exit short,2026-01-09 19:04,Exit Short,10129.8,1,10137.8,8,0.08,8,0.08,-0.7,-0.01,232.3,9.29
239,Entry short,2026-01-09 18:44,Short,10137.8,1,10137.8,8,0.08,8,0.08,-0.7,-0.01,232.3,9.29
240,Exit long,2026-01-09 19:54,Exit Long,10135,1,10127,8,0.08,8,0.08,-2.3,-0.02,240.3,9.61
240,Entry long,2026-01-09 19:12,Long,10127,1,10127,8,0.08,8,0.08,-2.3,-0.02,240.3,9.61
241,Exit short,2026-01-12 01:05,Exit Short,10121.8,1,10132.9,11.1,0.11,11.1,0.11,-4.1,-0.04,251.4,10.06
241,Entry short,2026-01-09 20:01,Short,10132.9,1,10132.9,11.1,0.11,11.1,0.11,-4.1,-0.04,251.4,10.06
242,Exit long,2026-01-12 01:17,Exit Long,10113.4,1,10121.4,-8,-0.08,0,0.00,-8,-0.08,243.4,9.74
242,Entry long,2026-01-12 01:09,Long,10121.4,1,10121.4,-8,-0.08,0,0.00,-8,-0.08,243.4,9.74
243,Exit long,2026-01-12 01:57,Exit Long,10117.6,1,10109.6,8,0.08,8,0.08,-2.2,-0.02,251.4,10.06
