Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
321,Entry short,2026-01-06 12:15,Short,10076.9,1,10076.9,1.3,0.01,1.7,0.02,-0.9,-0.01,336,3.36
322,Exit long,2026-01-06 12:22,Exit Long,10073.5,1,10073.4,0.1,0.00,0.5,0.00,0,0.00,336.1,3.36
322,Entry long,2026-01-06 12:22,Long,10073.4,1,10073.4,0.1,0.00,0.5,0.00,0,0.00,336.1,3.36
323,Exit short,2026-01-06 12:40,Exit Short,10083.1,1,10083.7,0.6,0.01,1,0.01,0,0.00,336.7,3.37
323,Entry short,2026-01-06 12:40,Short,10083.7,1,10083.7,0.6,0.01,1,0.01,0,0.00,336.7,3.37
324,Exit short,2026-01-06 12:53,Exit Short,10091.8,1,10092.3,0.5,0.00,0.9,0.01,0,0.00,337.2,3.37
324,Entry short,2026-01-06 12:53,Short,10092.3,1,10092.3,0.5,0.00,0.9,0.01,0,0.00,337.2,3.37
325,Exit short,2026-01-06 12:56,Exit Short,10092.6,1,10093.1,0.5,0.00,0.9,0.01,-0.3,0.00,337.7,3.38
325,Entry short,2026-01-06 12:56,Short,10093.1,1,10093.1,0.5,0.00,0.9,0.01,-0.3,0.00,337.7,3.38
326,Exit short,2026-01-06 13:18,Exit Short,10113.4,1,10115.7,2.3,0.02,3.3,0.03,-3,-0.03,340,3.40
326,Entry short,2026-01-06 13:16,Short,10115.7,1,10115.7,2.3,0.02,3.3,0.03,-3,-0.03,340,3.40
327,Exit short,2026-01-06 13:39,Exit Short,10111.3,1,10112.4,1.1,0.01,1.5,0.01,-5.3,-0.05,341.1,3.41
327,Entry short,2026-01-06 13:34,Short,10112.4,1,10112.4,1.1,0.01,1.5,0.01,-5.3,-0.05,341.1,3.41
328,Exit short,2026-01-06 13:54,Exit Short,10113.1,1,10113.4,0.3,0.00,0.7,0.01,0,0.00,341.4,3.41
328,Entry short,2026-01-06 13:54,Short,10113.4,1,10113.4,0.3,0.00,0.7,0.01,0,0.00,341.4,3.41
329,Exit short,2026-01-06 14:05,Exit Short,10114.6,1,10115.4,0.8,0.01,1.2,0.01,-7.5,-0.07,342.2,3.42
329,Entry short,2026-01-06 13:58,Short,10115.4,1,10115.4,0.8,0.01,1.2,0.01,-7.5,-0.07,342.2,3.42
330,Exit short,2026-01-06 14:24,Exit Short,10127.6,1,10128.7,1.1,0.01,1.5,0.01,-0.2,0.00,343.3,3.43
330,Entry short,2026-01-06 14:24,Short,10128.7,1,10128.7,1.1,0.01,1.5,0.01,-0.2,0.00,343.3,3.43
331,Exit short,2026-01-06 14:46,Exit Short,10131,1,10135.7,4.7,0.05,5.1,0.05,-1.2,-0.01,348,3.48
331,Entry short,2026-01-06 14:46,Short,10135.7,1,10135.7,4.7,0.05,5.1,0.05,-1.2,-0.01,348,3.48
332,Exit short,2026-01-06 15:30,Exit Short,10136.6,1,10137.7,1.1,0.01,1.5,0.01,0,0.00,349.1,3.49
332,Entry short,2026-01-06 15:30,Short,10137.7,1,10137.7,1.1,0.01,1.5,0.01,0,0.00,349.1,3.49
333,Exit short,2026-01-06 15:33,Exit Short,10139.6,1,10140.9,1.3,0.01,1.7,0.02,-0.5,0.00,350.4,3.50
333,Entry short,2026-01-06 15:33,Short,10140.9,1,10140.9,1.3,0.01,1.7,0.02,-0.5,0.00,350.4,3.50
334,Exit short,2026-01-06 15:36,Exit Short,10136.3,1,10137.7,1.4,0.01,1.8,0.02,-1,-0.01,351.8,3.52
334,Entry short,2026-01-06 15:35,Short,10137.7,1,10137.7,1.4,0.01,1.8,0.02,-1,-0.01,351.8,3.52
335,Exit short,2026-01-06 15:46,Exit Short,10150.1,1,10151.3,1.2,0.01,1.6,0.02,-0.4,0.00,353,3.53
335,Entry short,2026-01-06 15:46,Short,10151.3,1,10151.3,1.2,0.01,1.6,0.02,-0.4,0.00,353,3.53
336,Exit short,2026-01-06 15:58,Exit Short,10156.1,1,10156.6,0.5,0.00,0.9,0.01,-6.6,-0.06,353.5,3.54
336,Entry short,2026-01-06 15:50,Short,10156.6,1,10156.6,0.5,0.00,0.9,0.01,-6.6,-0.06,353.5,3.54
337,Exit long,2026-01-06 16:31,Exit Long,10139.4,1,10135.3,4.1,0.04,4.5,0.04,0,0.00,357.6,3.58
337,Entry long,2026-01-06 16:31,Long,10135.3,1,10135.3,4.1,0.04,4.5,0.04,0,0.00,357.6,3.58
338,Exit long,2026-01-06 16:42,Exit Long,10127.9,1,10126.2,1.7,0.02,2.1,0.02,-0.9,-0.01,359.3,3.59
338,Entry long,2026-01-06 16:42,Long,10126.2,1,10126.2,1.7,0.02,2.1,0.02,-0.9,-0.01,359.3,3.59
339,Exit long,2026-01-06 16:47,Exit Long,10123.5,1,10122.3,1.2,0.01,1.6,0.02,-1.3,-0.01,360.5,3.61
339,Entry long,2026-01-06 16:47,Long,10122.3,1,10122.3,1.2,0.01,1.6,0.02,-1.3,-0.01,360.5,3.61
340,Exit long,2026-01-06 16:50,Exit Long,10122.1,1,10120.5,1.6,0.02,2,0.02,-0.6,-0.01,362.1,3.62
340,Entry long,2026-01-06 16:50,Long,10120.5,1,10120.5,1.6,0.02,2,0.02,-0.6,-0.01,362.1,3.62
341,Exit long,2026-01-06 17:06,Exit Long,10118.4,1,10114.2,4.2,0.04,4.6,0.05,-1.2,-0.01,366.3,3.66
341,Entry long,2026-01-06 17:03,Long,10114.2,1,10114.2,4.2,0.04,4.6,0.05,-1.2,-0.01,366.3,3.66
342,Exit short,2026-01-06 18:15,Exit Short,10121.8,1,10123.9,2.1,0.02,2.5,0.02,-0.1,0.00,368.4,3.68
342,Entry short,2026-01-06 18:14,Short,10123.9,1,10123.9,2.1,0.02,2.5,0.02,-0.1,0.00,368.4,3.68
343,Exit long,2026-01-06 18:30,Exit Long,10118.1,1,10117.8,0.3,0.00,0.7,0.01,-0.3,0.00,368.7,3.69
343,Entry long,2026-01-06 18:30,Long,10117.8,1,10117.8,0.3,0.00,0.7,0.01,-0.3,0.00,368.7,3.69
344,Exit long,2026-01-06 18:48,Exit Long,10115.6,1,10115,0.6,0.01,1,0.01,-0.3,0.00,369.3,3.69
344,Entry long,2026-01-06 18:47,Long,10115,1,10115,0.6,0.01,1,0.01,-0.3,0.00,369.3,3.69
345,Exit short,2026-01-06 19:11,Exit Short,10127.2,1,10127.3,0.1,0.00,0.5,0.00,0,0.00,369.4,3.69
345,Entry short,2026-01-06 19:11,Short,10127.3,1,10127.3,0.1,0.00,0.5,0.00,0,0.00,369.4,3.69
346,Exit short,2026-01-06 19:17,Exit Short,10128.2,1,10128.3,0.1,0.00,0.5,0.00,-0.3,0.00,369.5,3.70
346,Entry short,2026-01-06 19:17,Short,10128.3,1,10128.3,0.1,0.00,0.5,0.00,-0.3,0.00,369.5,3.70
347,Exit long,2026-01-06 19:57,Exit Long,10120.1,1,10118.8,1.3,0.01,1.7,0.02,0,0.00,370.8,3.71
347,Entry long,2026-01-06 19:56,Long,10118.8,1,10118.8,1.3,0.01,1.7,0.02,0,0.00,370.8,3.71
348,Exit long,2026-01-06 20:00,Exit Long,10119.6,1,10119.3,0.3,0.00,0.7,0.01,-0.3,0.00,371.1,3.71
348,Entry long,2026-01-06 20:00,Long,10119.3,1,10119.3,0.3,0.00,0.7,0.01,-0.3,0.00,371.1,3.71
349,Exit long,2026-01-06 20:15,Exit Long,10120.5,1,10120.5,0,0.00,0.5,0.00,-0.2,0.00,371.1,3.71
349,Entry long,2026-01-06 20:14,Long,10120.5,1,10120.5,0,0.00,0.5,0.00,-0.2,0.00,371.1,3.71
350,Exit long,2026-01-06 20:21,Exit Long,10118.9,1,10118.5,0.4,0.00,0.8,0.01,-0.5,0.00,371.5,3.72
350,Entry long,2026-01-06 20:21,Long,10118.5,1,10118.5,0.4,0.00,0.8,0.01,-0.5,0.00,371.5,3.72
