Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit long,2025-12-29 00:03,Exit Long,6932.2,1,6930.6,1.6,0.02,2,0.03,-0.1,0.00,1.6,0.06
1,Entry long,2025-12-29 00:02,Long,6930.6,1,6930.6,1.6,0.02,2,0.03,-0.1,0.00,1.6,0.06
2,Exit long,2025-12-29 00:22,Exit Long,6931.2,1,6930.1,1.1,0.02,1.5,0.02,-0.8,-0.01,2.7,0.11
2,Entry long,2025-12-29 00:17,Long,6930.1,1,6930.1,1.1,0.02,1.5,0.02,-0.8,-0.01,2.7,0.11
3,Exit short,2025-12-29 01:11,Exit Short,6933.3,1,6933.9,0.6,0.01,1.1,0.02,-3.2,-0.05,3.3,0.13
3,Entry short,2025-12-29 00:43,Short,6933.9,1,6933.9,0.6,0.01,1.1,0.02,-3.2,-0.05,3.3,0.13
4,Exit long,2025-12-29 01:31,Exit Long,6931.2,1,6930.6,0.6,0.01,1,0.01,0,0.00,3.9,0.16
4,Entry long,2025-12-29 01:31,Long,6930.6,1,6930.6,0.6,0.01,1,0.01,0,0.00,3.9,0.16
5,Exit long,2025-12-29 01:44,Exit Long,6928.2,1,6927.8,0.4,0.01,0.8,0.01,-0.2,0.00,4.3,0.17
5,Entry long,2025-12-29 01:42,Long,6927.8,1,6927.8,0.4,0.01,0.8,0.01,-0.2,0.00,4.3,0.17
6,Exit long,2025-12-29 02:06,Exit Long,6927.2,1,6926.7,0.5,0.01,0.9,0.01,-0.4,-0.01,4.8,0.19
6,Entry long,2025-12-29 01:59,Long,6926.7,1,6926.7,0.5,0.01,0.9,0.01,-0.4,-0.01,4.8,0.19
7,Exit long,2025-12-29 02:39,Exit Long,6927.2,1,6926.6,0.6,0.01,1,0.01,-1.5,-0.02,5.4,0.22
7,Entry long,2025-12-29 02:20,Long,6926.6,1,6926.6,0.6,0.01,1,0.01,-1.5,-0.02,5.4,0.22
8,Exit short,2025-12-29 03:00,Exit Short,6927,1,6927.6,0.6,0.01,1,0.01,0,0.00,6,0.24
8,Entry short,2025-12-29 02:52,Short,6927.6,1,6927.6,0.6,0.01,1,0.01,0,0.00,6,0.24
9,Exit short,2025-12-29 03:18,Exit Short,6927,1,6928.1,1.1,0.02,1.5,0.02,-0.5,-0.01,7.1,0.28
9,Entry short,2025-12-29 03:08,Short,6928.1,1,6928.1,1.1,0.02,1.5,0.02,-0.5,-0.01,7.1,0.28
10,Exit long,2025-12-29 03:31,Exit Long,6926.7,1,6926.1,0.6,0.01,1,0.01,-1,-0.01,7.7,0.31
10,Entry long,2025-12-29 03:24,Long,6926.1,1,6926.1,0.6,0.01,1,0.01,-1,-0.01,7.7,0.31
11,Exit short,2025-12-29 05:02,Exit Short,6925.6,1,6928.6,3,0.04,3.4,0.05,-3,-0.04,10.7,0.43
