Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
338,Entry short,2026-01-05 11:54,Short,48385.2,1,48385.2,-8,-0.02,0.6,0.00,-8,-0.02,-151.9,-6.08
339,Exit short,2026-01-05 12:00,Exit Short,48402.8,1,48394.8,-8,-0.02,4,0.01,-8,-0.02,-159.9,-6.40
339,Entry short,2026-01-05 11:59,Short,48394.8,1,48394.8,-8,-0.02,4,0.01,-8,-0.02,-159.9,-6.40
340,Exit short,2026-01-05 12:03,Exit Short,48393.2,1,48403.1,9.9,0.02,12,0.02,-1.1,0.00,-150,-6.00
340,Entry short,2026-01-05 12:02,Short,48403.1,1,48403.1,9.9,0.02,12,0.02,-1.1,0.00,-150,-6.00
341,Exit long,2026-01-05 12:35,Exit Long,48362.2,1,48352.7,9.5,0.02,9.5,0.02,0,0.00,-140.5,-5.62
341,Entry long,2026-01-05 12:34,Long,48352.7,1,48352.7,9.5,0.02,9.5,0.02,0,0.00,-140.5,-5.62
342,Exit long,2026-01-05 12:49,Exit Long,48353.8,1,48345.8,8,0.02,8,0.02,0,0.00,-132.5,-5.30
342,Entry long,2026-01-05 12:48,Long,48345.8,1,48345.8,8,0.02,8,0.02,0,0.00,-132.5,-5.30
343,Exit long,2026-01-05 13:26,Exit Long,48319,1,48311,8,0.02,8,0.02,-5.3,-0.01,-124.5,-4.98
343,Entry long,2026-01-05 13:24,Long,48311,1,48311,8,0.02,8,0.02,-5.3,-0.01,-124.5,-4.98
344,Exit short,2026-01-05 13:47,Exit Short,48365,1,48357,-8,-0.02,0.8,0.00,-9.7,-0.02,-132.5,-5.30
344,Entry short,2026-01-05 13:46,Short,48357,1,48357,-8,-0.02,0.8,0.00,-9.7,-0.02,-132.5,-5.30
345,Exit short,2026-01-05 13:53,Exit Short,48378,1,48370,-8,-0.02,1.3,0.00,-8,-0.02,-140.5,-5.62
345,Entry short,2026-01-05 13:52,Short,48370,1,48370,-8,-0.02,1.3,0.00,-8,-0.02,-140.5,-5.62
346,Exit short,2026-01-05 14:01,Exit Short,48410.5,1,48402.5,-8,-0.02,10.9,0.02,-8,-0.02,-148.5,-5.94
346,Entry short,2026-01-05 14:00,Short,48402.5,1,48402.5,-8,-0.02,10.9,0.02,-8,-0.02,-148.5,-5.94
347,Exit short,2026-01-05 14:08,Exit Short,48431.8,1,48441.6,9.8,0.02,15,0.03,-0.1,0.00,-138.7,-5.55
347,Entry short,2026-01-05 14:07,Short,48441.6,1,48441.6,9.8,0.02,15,0.03,-0.1,0.00,-138.7,-5.55
348,Exit short,2026-01-05 14:23,Exit Short,48439.7,1,48447.7,8,0.02,8.4,0.02,-1.8,0.00,-130.7,-5.23
348,Entry short,2026-01-05 14:22,Short,48447.7,1,48447.7,8,0.02,8.4,0.02,-1.8,0.00,-130.7,-5.23
349,Exit short,2026-01-05 14:27,Exit Short,48444.8,1,48455.8,11,0.02,11.4,0.02,-4.6,-0.01,-119.7,-4.79
349,Entry short,2026-01-05 14:26,Short,48455.8,1,48455.8,11,0.02,11.4,0.02,-4.6,-0.01,-119.7,-4.79
350,Exit short,2026-01-05 14:45,Exit Short,48874.2,1,48824.8,-49.4,-0.10,0,0.00,-60.3,-0.12,-169.1,-6.76
350,Entry short,2026-01-05 14:44,Short,48824.8,1,48824.8,-49.4,-0.10,0,0.00,-60.3,-0.12,-169.1,-6.76
351,Exit short,2026-01-05 14:51,Exit Short,48846.6,1,48892,45.4,0.09,48,0.10,-8.2,-0.02,-123.7,-4.95
351,Entry short,2026-01-05 14:50,Short,48892,1,48892,45.4,0.09,48,0.10,-8.2,-0.02,-123.7,-4.95
352,Exit short,2026-01-05 15:07,Exit Short,48925,1,48965.5,40.5,0.08,42.5,0.09,-0.6,0.00,-83.2,-3.33
352,Entry short,2026-01-05 15:06,Short,48965.5,1,48965.5,40.5,0.08,42.5,0.09,-0.6,0.00,-83.2,-3.33
353,Exit short,2026-01-05 15:23,Exit Short,48998.2,1,48990.2,-8,-0.02,12.3,0.03,-8,-0.02,-91.2,-3.65
353,Entry short,2026-01-05 15:22,Short,48990.2,1,48990.2,-8,-0.02,12.3,0.03,-8,-0.02,-91.2,-3.65
354,Exit short,2026-01-05 15:28,Exit Short,49030.6,1,48999.5,-31.1,-0.06,4.5,0.01,-38,-0.08,-122.3,-4.89
