Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit long,2025-12-29 05:02,Exit Long,9883.4,1,9891.4,-8,-0.08,1.3,0.01,-8,-0.08,-8,-0.32
1,Entry long,2025-12-29 03:24,Long|PREV|5.6|6.3|4.8|5.3|1.6|1.3|1|10.3|CURR|26.3|15.1|22.7|12.9|7.9|3.2|4.9|8.7,9891.4,1,9891.4,-8,-0.08,1.3,0.01,-8,-0.08,-8,-0.32
2,Exit long,2025-12-29 06:27,Exit Long,9889.9,1,9881.9,8,0.08,8,0.08,-0.7,-0.01,0,0.00
2,Entry long,2025-12-29 05:15,Long|PREV|3|3|1.5|1.5|1|2.3|0.9|1.8|CURR|42.3|16.1|31.4|11.5|11.1|3.5|10.1|2.1,9881.9,1,9881.9,8,0.08,8,0.08,-0.7,-0.01,0,0.00
3,Exit long,2025-12-29 08:00,Exit Long,9888.4,1,9880.4,8,0.08,8,0.08,-6,-0.06,8,0.32
3,Entry long,2025-12-29 07:51,Long|PREV|18.4|13.5|13|8.5|9.6|7.3|8.1|6.7|CURR|26.3|19.3|19.6|13.3|13.7|8.9|11.6|6.4,9880.4,1,9880.4,8,0.08,8,0.08,-6,-0.06,8,0.32
4,Exit long,2025-12-29 08:11,Exit Long,9880.7,1,9872.7,8,0.08,8,0.08,-0.6,-0.01,16,0.64
4,Entry long,2025-12-29 08:10,Long|PREV|8.9|8.2|8.9|8.2|8.3|8.4|8.3|16.7|CURR|31.9|15.6|19.1|11.3|17.9|10.2|17.9|15.8,9872.7,1,9872.7,8,0.08,8,0.08,-0.6,-0.01,16,0.64
5,Exit long,2025-12-29 08:58,Exit Long,9878,1,9870,8,0.08,8,0.08,-1.7,-0.02,24,0.96
5,Entry long,2025-12-29 08:54,Long|PREV|5|2.4|4.5|1.9|2.3|3|2.3|9.8|CURR|52.5|19.5|43.8|16.3|19.9|6.1|19.9|9.3,9870,1,9870,8,0.08,8,0.08,-1.7,-0.02,24,0.96
6,Exit short,2025-12-29 10:09,Exit Short,9879.5,1,9887.5,8,0.08,8,0.08,-0.7,-0.01,32,1.28
