Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
130,Entry long,2025-12-31 08:35,Long,9927.4,1,9927.4,-8.2,-0.08,0.1,0.00,-8.2,-0.08,64.7,2.59
131,Exit long,2025-12-31 08:41,Exit Long,9926.6,1,9923.3,3.3,0.03,3.6,0.04,-0.3,0.00,68,2.72
131,Entry long,2025-12-31 08:41,Long,9923.3,1,9923.3,3.3,0.03,3.6,0.04,-0.3,0.00,68,2.72
132,Exit short,2025-12-31 09:22,Exit Short,9939.2,1,9940.4,1.2,0.01,1.5,0.02,-1.1,-0.01,69.2,2.77
132,Entry short,2025-12-31 09:21,Short,9940.4,1,9940.4,1.2,0.01,1.5,0.02,-1.1,-0.01,69.2,2.77
133,Exit short,2025-12-31 09:28,Exit Short,9940.9,1,9942.2,1.3,0.01,1.6,0.02,-1.4,-0.01,70.5,2.82
133,Entry short,2025-12-31 09:26,Short,9942.2,1,9942.2,1.3,0.01,1.6,0.02,-1.4,-0.01,70.5,2.82
134,Exit short,2025-12-31 09:29,Exit Short,9940,1,9941.3,1.3,0.01,1.6,0.02,-0.2,0.00,71.8,2.87
134,Entry short,2025-12-31 09:29,Short,9941.3,1,9941.3,1.3,0.01,1.6,0.02,-0.2,0.00,71.8,2.87
135,Exit short,2025-12-31 09:42,Exit Short,9943.8,1,9944.5,0.7,0.01,1,0.01,-0.7,-0.01,72.5,2.90
135,Entry short,2025-12-31 09:42,Short,9944.5,1,9944.5,0.7,0.01,1,0.01,-0.7,-0.01,72.5,2.90
