Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
57,Entry short,2025-12-30 03:36,Short,9870.7,1,9870.7,0.2,0.00,0.5,0.01,-0.3,0.00,43,1.72
58,Exit short,2025-12-30 04:22,Safety Net,9876,1,9871.8,-4.2,-0.04,0.3,0.00,-6.1,-0.06,38.8,1.55
58,Entry short,2025-12-30 03:52,Short,9871.8,1,9871.8,-4.2,-0.04,0.3,0.00,-6.1,-0.06,38.8,1.55
59,Exit short,2025-12-30 04:45,Exit Short,9877,1,9877.7,0.7,0.01,1,0.01,-1.2,-0.01,39.5,1.58
59,Entry short,2025-12-30 04:35,Short,9877.7,1,9877.7,0.7,0.01,1,0.01,-1.2,-0.01,39.5,1.58
60,Exit long,2025-12-30 05:14,Exit Long,9873.4,1,9872.5,0.9,0.01,1.2,0.01,0,0.00,40.4,1.62
60,Entry long,2025-12-30 05:11,Long,9872.5,1,9872.5,0.9,0.01,1.2,0.01,0,0.00,40.4,1.62
61,Exit long,2025-12-30 05:23,Exit Long,9872.5,1,9870.2,2.3,0.02,2.6,0.03,-0.1,0.00,42.7,1.71
61,Entry long,2025-12-30 05:22,Long,9870.2,1,9870.2,2.3,0.02,2.6,0.03,-0.1,0.00,42.7,1.71
62,Exit long,2025-12-30 05:39,Exit Long,9870.5,1,9870.3,0.2,0.00,0.5,0.01,0,0.00,42.9,1.72
62,Entry long,2025-12-30 05:39,Long,9870.3,1,9870.3,0.2,0.00,0.5,0.01,0,0.00,42.9,1.72
63,Exit long,2025-12-30 05:44,Exit Long,9870.9,1,9870.5,0.4,0.00,0.7,0.01,-0.5,-0.01,43.3,1.73
63,Entry long,2025-12-30 05:41,Long,9870.5,1,9870.5,0.4,0.00,0.7,0.01,-0.5,-0.01,43.3,1.73
64,Exit short,2025-12-30 06:17,Exit Short,9873.7,1,9873.9,0.2,0.00,0.5,0.01,-0.2,0.00,43.5,1.74
64,Entry short,2025-12-30 06:17,Short,9873.9,1,9873.9,0.2,0.00,0.5,0.01,-0.2,0.00,43.5,1.74
65,Exit long,2025-12-30 06:35,Safety Net,9875.8,1,9870.8,5,0.05,5,0.05,-0.1,0.00,48.5,1.94
65,Entry long,2025-12-30 06:31,Long,9870.8,1,9870.8,5,0.05,5,0.05,-0.1,0.00,48.5,1.94
66,Exit short,2025-12-30 06:36,Exit Short,9873,1,9873.2,0.2,0.00,0.5,0.01,0,0.00,48.7,1.95
66,Entry short,2025-12-30 06:36,Short,9873.2,1,9873.2,0.2,0.00,0.5,0.01,0,0.00,48.7,1.95
67,Exit short,2025-12-30 07:06,Exit Short,9875.9,1,9876.1,0.2,0.00,0.5,0.01,0,0.00,48.9,1.96
67,Entry short,2025-12-30 07:06,Short,9876.1,1,9876.1,0.2,0.00,0.5,0.01,0,0.00,48.9,1.96
68,Exit short,2025-12-30 07:17,Exit Short,9875.4,1,9875.6,0.2,0.00,0.5,0.01,-2.7,-0.03,49.1,1.96
68,Entry short,2025-12-30 07:08,Short,9875.6,1,9875.6,0.2,0.00,0.5,0.01,-2.7,-0.03,49.1,1.96
69,Exit short,2025-12-30 08:01,Exit Short,9874.1,1,9874.6,0.5,0.01,0.8,0.01,0,0.00,49.6,1.98
69,Entry short,2025-12-30 08:01,Short,9874.6,1,9874.6,0.5,0.01,0.8,0.01,0,0.00,49.6,1.98
70,Exit short,2025-12-30 08:05,Exit Short,9885.6,1,9877.3,-8.3,-0.08,0.2,0.00,-8.3,-0.08,41.3,1.65
70,Entry short,2025-12-30 08:03,Short,9877.3,1,9877.3,-8.3,-0.08,0.2,0.00,-8.3,-0.08,41.3,1.65
71,Exit short,2025-12-30 08:08,Exit Short,9878.1,1,9881.2,3.1,0.03,3.4,0.03,-0.5,-0.01,44.4,1.78
71,Entry short,2025-12-30 08:07,Short,9881.2,1,9881.2,3.1,0.03,3.4,0.03,-0.5,-0.01,44.4,1.78
72,Exit short,2025-12-30 08:50,Exit Short,9879.2,1,9883.2,4,0.04,4.3,0.04,-0.2,0.00,48.4,1.94
72,Entry short,2025-12-30 08:49,Short,9883.2,1,9883.2,4,0.04,4.3,0.04,-0.2,0.00,48.4,1.94
73,Exit short,2025-12-30 09:17,Exit Short,9884.4,1,9887.4,3,0.03,3.3,0.03,0,0.00,51.4,2.06
73,Entry short,2025-12-30 09:16,Short,9887.4,1,9887.4,3,0.03,3.3,0.03,0,0.00,51.4,2.06
74,Exit short,2025-12-30 09:39,Exit Short,9890,1,9890.3,0.3,0.00,0.6,0.01,-0.4,0.00,51.7,2.07
