Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit long,2025-12-29 00:02,Exit Long,6932.5,1,6930.6,1.9,0.03,2,0.03,-0.1,0.00,1.9,0.08
1,Entry long,2025-12-29 00:02,Long,6930.6,1,6930.6,1.9,0.03,2,0.03,-0.1,0.00,1.9,0.08
2,Exit long,2025-12-29 00:22,Exit Long,6931.5,1,6930.1,1.4,0.02,1.5,0.02,-0.8,-0.01,3.3,0.13
2,Entry long,2025-12-29 00:17,Long,6930.1,1,6930.1,1.4,0.02,1.5,0.02,-0.8,-0.01,3.3,0.13
3,Exit short,2025-12-29 01:09,Exit Short,6933.2,1,6933.9,0.7,0.01,0.8,0.01,-3.2,-0.05,4,0.16
3,Entry short,2025-12-29 00:43,Short,6933.9,1,6933.9,0.7,0.01,0.8,0.01,-3.2,-0.05,4,0.16
4,Exit long,2025-12-29 01:31,Exit Long,6931.5,1,6930.6,0.9,0.01,1,0.01,0,0.00,4.9,0.20
4,Entry long,2025-12-29 01:31,Long,6930.6,1,6930.6,0.9,0.01,1,0.01,0,0.00,4.9,0.20
5,Exit long,2025-12-29 01:44,Exit Long,6928.5,1,6927.8,0.7,0.01,0.8,0.01,-0.2,0.00,5.6,0.22
5,Entry long,2025-12-29 01:42,Long,6927.8,1,6927.8,0.7,0.01,0.8,0.01,-0.2,0.00,5.6,0.22
6,Exit long,2025-12-29 02:05,Exit Long,6927.5,1,6926.7,0.8,0.01,0.9,0.01,-0.4,-0.01,6.4,0.26
6,Entry long,2025-12-29 01:59,Long,6926.7,1,6926.7,0.8,0.01,0.9,0.01,-0.4,-0.01,6.4,0.26
7,Exit long,2025-12-29 02:39,Exit Long,6927.5,1,6926.6,0.9,0.01,1,0.01,-1.5,-0.02,7.3,0.29
7,Entry long,2025-12-29 02:20,Long,6926.6,1,6926.6,0.9,0.01,1,0.01,-1.5,-0.02,7.3,0.29
8,Exit short,2025-12-29 02:58,Exit Short,6927.1,1,6927.6,0.5,0.01,0.8,0.01,0,0.00,7.8,0.31
8,Entry short,2025-12-29 02:52,Short,6927.6,1,6927.6,0.5,0.01,0.8,0.01,0,0.00,7.8,0.31
9,Exit short,2025-12-29 03:14,Exit Short,6927.2,1,6928.1,0.9,0.01,1,0.01,-0.5,-0.01,8.7,0.35
9,Entry short,2025-12-29 03:08,Short,6928.1,1,6928.1,0.9,0.01,1,0.01,-0.5,-0.01,8.7,0.35
10,Exit long,2025-12-29 03:31,Exit Long,6927,1,6926.1,0.9,0.01,1,0.01,-1,-0.01,9.6,0.38
10,Entry long,2025-12-29 03:24,Long,6926.1,1,6926.1,0.9,0.01,1,0.01,-1,-0.01,9.6,0.38
11,Exit short,2025-12-29 05:01,Exit Short,6926.1,1,6928.6,2.5,0.04,2.6,0.04,-3,-0.04,12.1,0.48
11,Entry short,2025-12-29 03:42,Short,6928.6,1,6928.6,2.5,0.04,2.6,0.04,-3,-0.04,12.1,0.48
12,Exit long,2025-12-29 05:03,Exit Long,6926.9,1,6926.1,0.8,0.01,0.9,0.01,0,0.00,12.9,0.52
12,Entry long,2025-12-29 05:03,Long,6926.1,1,6926.1,0.8,0.01,0.9,0.01,0,0.00,12.9,0.52
13,Exit long,2025-12-29 05:52,Exit Long,6925.8,1,6925.1,0.7,0.01,0.8,0.01,-1.8,-0.03,13.6,0.54
13,Entry long,2025-12-29 05:11,Long,6925.1,1,6925.1,0.7,0.01,0.8,0.01,-1.8,-0.03,13.6,0.54
14,Exit long,2025-12-29 06:08,Exit Long,6924.5,1,6923.7,0.8,0.01,0.9,0.01,-0.6,-0.01,14.4,0.58
14,Entry long,2025-12-29 06:04,Long,6923.7,1,6923.7,0.8,0.01,0.9,0.01,-0.6,-0.01,14.4,0.58
15,Exit short,2025-12-29 06:35,Exit Short,6925.4,1,6926.1,0.7,0.01,0.8,0.01,-2.7,-0.04,15.1,0.60
15,Entry short,2025-12-29 06:15,Short,6926.1,1,6926.1,0.7,0.01,0.8,0.01,-2.7,-0.04,15.1,0.60
16,Exit long,2025-12-29 07:01,Exit Long,6924.3,1,6923.7,0.6,0.01,0.9,0.01,-0.4,-0.01,15.7,0.63
16,Entry long,2025-12-29 06:57,Long,6923.7,1,6923.7,0.6,0.01,0.9,0.01,-0.4,-0.01,15.7,0.63
17,Exit long,2025-12-29 07:11,Exit Long,6922.1,1,6921.6,0.5,0.01,0.8,0.01,-0.2,0.00,16.2,0.65
17,Entry long,2025-12-29 07:10,Long,6921.6,1,6921.6,0.5,0.01,0.8,0.01,-0.2,0.00,16.2,0.65
18,Exit long,2025-12-29 07:24,Exit Long,6923,1,6920.2,2.8,0.04,2.9,0.04,-0.3,0.00,19,0.76
18,Entry long,2025-12-29 07:22,Long,6920.2,1,6920.2,2.8,0.04,2.9,0.04,-0.3,0.00,19,0.76
19,Exit short,2025-12-29 07:41,Exit Short,6922.6,1,6923.6,1,0.01,1.2,0.02,-0.8,-0.01,20,0.80
19,Entry short,2025-12-29 07:36,Short,6923.6,1,6923.6,1,0.01,1.2,0.02,-0.8,-0.01,20,0.80
20,Exit long,2025-12-29 08:03,Exit Long,6920.9,1,6919.5,1.4,0.02,1.6,0.02,-0.4,-0.01,21.4,0.86
20,Entry long,2025-12-29 08:02,Long,6919.5,1,6919.5,1.4,0.02,1.6,0.02,-0.4,-0.01,21.4,0.86
21,Exit long,2025-12-29 08:09,Exit Long,6919.5,1,6918.7,0.8,0.01,0.9,0.01,-0.8,-0.01,22.2,0.89
21,Entry long,2025-12-29 08:07,Long,6918.7,1,6918.7,0.8,0.01,0.9,0.01,-0.8,-0.01,22.2,0.89
22,Exit long,2025-12-29 08:15,Exit Long,6919.5,1,6918.7,0.8,0.01,0.9,0.01,-0.2,0.00,23,0.92
22,Entry long,2025-12-29 08:15,Long,6918.7,1,6918.7,0.8,0.01,0.9,0.01,-0.2,0.00,23,0.92
23,Exit long,2025-12-29 08:52,Exit Long,6911.1,1,6919.4,-8.3,-0.12,0.2,0.00,-8.3,-0.12,14.7,0.59
23,Entry long,2025-12-29 08:27,Long,6919.4,1,6919.4,-8.3,-0.12,0.2,0.00,-8.3,-0.12,14.7,0.59
24,Exit long,2025-12-29 09:00,Exit Long,6913.8,1,6911.2,2.6,0.04,2.7,0.04,-0.3,0.00,17.3,0.69
24,Entry long,2025-12-29 08:58,Long,6911.2,1,6911.2,2.6,0.04,2.7,0.04,-0.3,0.00,17.3,0.69
25,Exit short,2025-12-29 10:20,Exit Short,6915.7,1,6916.6,0.9,0.01,1,0.01,-2.3,-0.03,18.2,0.73
25,Entry short,2025-12-29 10:13,Short,6916.6,1,6916.6,0.9,0.01,1,0.01,-2.3,-0.03,18.2,0.73
26,Exit long,2025-12-29 11:02,Exit Long,6915.8,1,6914.9,0.9,0.01,1,0.01,-1.5,-0.02,19.1,0.76
26,Entry long,2025-12-29 10:57,Long,6914.9,1,6914.9,0.9,0.01,1,0.01,-1.5,-0.02,19.1,0.76
27,Exit long,2025-12-29 11:30,Exit Long,6914.5,1,6913.5,1,0.01,1.1,0.02,-1.1,-0.02,20.1,0.80
27,Entry long,2025-12-29 11:19,Long,6913.5,1,6913.5,1,0.01,1.1,0.02,-1.1,-0.02,20.1,0.80
28,Exit short,2025-12-29 12:33,Exit Short,6914.2,1,6915.9,1.7,0.02,1.8,0.03,-3,-0.04,21.8,0.87
28,Entry short,2025-12-29 11:38,Short,6915.9,1,6915.9,1.7,0.02,1.8,0.03,-3,-0.04,21.8,0.87
29,Exit long,2025-12-29 13:47,Exit Long,6906.6,1,6914.9,-8.3,-0.12,0.5,0.01,-8.3,-0.12,13.5,0.54
29,Entry long,2025-12-29 12:39,Long,6914.9,1,6914.9,-8.3,-0.12,0.5,0.01,-8.3,-0.12,13.5,0.54
30,Exit long,2025-12-29 13:52,Exit Long,6901.8,1,6901.1,0.7,0.01,0.8,0.01,0,0.00,14.2,0.57
30,Entry long,2025-12-29 13:52,Long,6901.1,1,6901.1,0.7,0.01,0.8,0.01,0,0.00,14.2,0.57
31,Exit long,2025-12-29 14:14,Exit Long,6903,1,6901.5,1.5,0.02,1.6,0.02,-1.3,-0.02,15.7,0.63
31,Entry long,2025-12-29 14:10,Long,6901.5,1,6901.5,1.5,0.02,1.6,0.02,-1.3,-0.02,15.7,0.63
32,Exit long,2025-12-29 14:19,Exit Long,6898,1,6897.1,0.9,0.01,1,0.01,-2.5,-0.04,16.6,0.66
32,Entry long,2025-12-29 14:17,Long,6897.1,1,6897.1,0.9,0.01,1,0.01,-2.5,-0.04,16.6,0.66
33,Exit short,2025-12-29 14:40,Exit Short,6913.2,1,6915.1,1.9,0.03,2,0.03,-0.3,0.00,18.5,0.74
33,Entry short,2025-12-29 14:40,Short,6915.1,1,6915.1,1.9,0.03,2,0.03,-0.3,0.00,18.5,0.74
34,Exit long,2025-12-29 15:15,Exit Long,6901.8,1,6899.4,2.4,0.03,2.5,0.04,-3.5,-0.05,20.9,0.84
34,Entry long,2025-12-29 15:11,Long,6899.4,1,6899.4,2.4,0.03,2.5,0.04,-3.5,-0.05,20.9,0.84
35,Exit long,2025-12-29 16:10,Exit Long,6900.3,1,6899.4,0.9,0.01,1,0.01,-0.8,-0.01,21.8,0.87
35,Entry long,2025-12-29 16:09,Long,6899.4,1,6899.4,0.9,0.01,1,0.01,-0.8,-0.01,21.8,0.87
36,Exit long,2025-12-29 16:20,Exit Long,6900.3,1,6899.4,0.9,0.01,1,0.01,-1,-0.01,22.7,0.91
36,Entry long,2025-12-29 16:20,Long,6899.4,1,6899.4,0.9,0.01,1,0.01,-1,-0.01,22.7,0.91
37,Exit long,2025-12-29 16:24,Exit Long,6900.8,1,6899.1,1.7,0.02,1.8,0.03,-0.2,0.00,24.4,0.98
37,Entry long,2025-12-29 16:24,Long,6899.1,1,6899.1,1.7,0.02,1.8,0.03,-0.2,0.00,24.4,0.98
38,Exit long,2025-12-29 16:29,Exit Long,6899,1,6897.6,1.4,0.02,1.5,0.02,0,0.00,25.8,1.03
38,Entry long,2025-12-29 16:28,Long,6897.6,1,6897.6,1.4,0.02,1.5,0.02,0,0.00,25.8,1.03
39,Exit long,2025-12-29 16:38,Exit Long,6899.8,1,6897.6,2.2,0.03,2.3,0.03,-1,-0.01,28,1.12
39,Entry long,2025-12-29 16:36,Long,6897.6,1,6897.6,2.2,0.03,2.3,0.03,-1,-0.01,28,1.12
40,Exit long,2025-12-29 16:45,Exit Long,6898.3,1,6896.1,2.2,0.03,2.3,0.03,-1,-0.01,30.2,1.21
40,Entry long,2025-12-29 16:43,Long,6896.1,1,6896.1,2.2,0.03,2.3,0.03,-1,-0.01,30.2,1.21
41,Exit long,2025-12-29 17:12,Exit Long,6896.8,1,6894.9,1.9,0.03,2,0.03,0,0.00,32.1,1.28
41,Entry long,2025-12-29 17:12,Long,6894.9,1,6894.9,1.9,0.03,2,0.03,0,0.00,32.1,1.28
42,Exit long,2025-12-29 17:30,Exit Long,6890.8,1,6890.1,0.7,0.01,0.8,0.01,-0.5,-0.01,32.8,1.31
42,Entry long,2025-12-29 17:30,Long,6890.1,1,6890.1,0.7,0.01,0.8,0.01,-0.5,-0.01,32.8,1.31
43,Exit short,2025-12-29 18:01,Exit Short,6896,1,6897.4,1.4,0.02,1.5,0.02,-0.5,-0.01,34.2,1.37
43,Entry short,2025-12-29 18:00,Short,6897.4,1,6897.4,1.4,0.02,1.5,0.02,-0.5,-0.01,34.2,1.37
44,Exit short,2025-12-29 18:10,Exit Short,6896.5,1,6897.9,1.4,0.02,1.5,0.02,0,0.00,35.6,1.42
44,Entry short,2025-12-29 18:10,Short,6897.9,1,6897.9,1.4,0.02,1.5,0.02,0,0.00,35.6,1.42
45,Exit short,2025-12-29 19:00,Exit Short,6899.2,1,6899.9,0.7,0.01,0.8,0.01,-7,-0.10,36.3,1.45
45,Entry short,2025-12-29 18:21,Short,6899.9,1,6899.9,0.7,0.01,0.8,0.01,-7,-0.10,36.3,1.45
46,Exit long,2025-12-29 19:05,Exit Long,6899,1,6898.1,0.9,0.01,1,0.01,0,0.00,37.2,1.49
46,Entry long,2025-12-29 19:05,Long,6898.1,1,6898.1,0.9,0.01,1,0.01,0,0.00,37.2,1.49
47,Exit long,2025-12-29 19:17,Exit Long,6898.6,1,6897.9,0.7,0.01,1,0.01,-1,-0.01,37.9,1.52
47,Entry long,2025-12-29 19:09,Long,6897.9,1,6897.9,0.7,0.01,1,0.01,-1,-0.01,37.9,1.52
