Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
25,Exit long,2025-12-29 16:52,Safety Net,6899.4,1,6899.4,0,0.00,4.7,0.07,-4.8,-0.07,16.6,0.66
25,Entry long,2025-12-29 16:09,Long,6899.4,1,6899.4,0,0.00,4.7,0.07,-4.8,-0.07,16.6,0.66
26,Exit long,2025-12-29 17:45,Safety Net,6893.1,1,6894.9,-1.8,-0.03,2,0.03,-6.3,-0.09,14.8,0.59
26,Entry long,2025-12-29 17:12,Long,6894.9,1,6894.9,-1.8,-0.03,2,0.03,-6.3,-0.09,14.8,0.59
27,Exit short,2025-12-29 18:35,Exit Short,6905.9,1,6897.4,-8.5,-0.12,1.5,0.02,-8.5,-0.12,6.3,0.25
27,Entry short,2025-12-29 18:00,Short,6897.4,1,6897.4,-8.5,-0.12,1.5,0.02,-8.5,-0.12,6.3,0.25
28,Exit short,2025-12-29 18:47,Safety Net,6902.4,1,6904.9,2.5,0.04,3.5,0.05,-0.5,-0.01,8.8,0.35
28,Entry short,2025-12-29 18:39,Short,6904.9,1,6904.9,2.5,0.04,3.5,0.05,-0.5,-0.01,8.8,0.35
29,Exit long,2025-12-29 19:27,Safety Net,6902.4,1,6898.1,4.3,0.06,4.3,0.06,-1.5,-0.02,13.1,0.52
29,Entry long,2025-12-29 19:05,Long,6898.1,1,6898.1,4.3,0.06,4.3,0.06,-1.5,-0.02,13.1,0.52
30,Exit short,2025-12-29 20:14,Exit Short,6913.4,1,6905.5,-7.9,-0.11,0.1,0.00,-7.9,-0.11,5.2,0.21
30,Entry short,2025-12-29 19:36,Short,6905.5,1,6905.5,-7.9,-0.11,0.1,0.00,-7.9,-0.11,5.2,0.21
31,Exit short,2025-12-29 20:54,Exit Short,6905.4,1,6913.6,8.2,0.12,8.2,0.12,-0.5,-0.01,13.4,0.54
31,Entry short,2025-12-29 20:17,Short,6913.6,1,6913.6,8.2,0.12,8.2,0.12,-0.5,-0.01,13.4,0.54
32,Exit long,2025-12-29 21:18,Safety Net,6908.1,1,6906.6,1.5,0.02,2.3,0.03,-3.7,-0.05,14.9,0.60
32,Entry long,2025-12-29 20:56,Long,6906.6,1,6906.6,1.5,0.02,2.3,0.03,-3.7,-0.05,14.9,0.60
33,Exit short,2025-12-29 23:03,Safety Net,6907.6,1,6908.8,1.2,0.02,1.4,0.02,-0.8,-0.01,16.1,0.64
33,Entry short,2025-12-29 23:00,Short,6908.8,1,6908.8,1.2,0.02,1.4,0.02,-0.8,-0.01,16.1,0.64
34,Exit long,2025-12-29 23:35,Safety Net,6906.4,1,6906.6,-0.2,0.00,0.3,0.00,-3.2,-0.05,15.9,0.64
34,Entry long,2025-12-29 23:16,Long,6906.6,1,6906.6,-0.2,0.00,0.3,0.00,-3.2,-0.05,15.9,0.64
35,Exit long,2025-12-30 00:23,Safety Net,6905.6,1,6904.8,0.8,0.01,1.1,0.02,-1.4,-0.02,16.7,0.67
35,Entry long,2025-12-29 23:58,Long,6904.8,1,6904.8,0.8,0.01,1.1,0.02,-1.4,-0.02,16.7,0.67
36,Exit short,2025-12-30 00:53,Safety Net,6904.9,1,6906.5,1.6,0.02,1.9,0.03,-0.9,-0.01,18.3,0.73
36,Entry short,2025-12-30 00:26,Short,6906.5,1,6906.5,1.6,0.02,1.9,0.03,-0.9,-0.01,18.3,0.73
37,Exit long,2025-12-30 01:39,Safety Net,6904.4,1,6903.6,0.8,0.01,1.8,0.03,-0.7,-0.01,19.1,0.76
37,Entry long,2025-12-30 01:02,Long,6903.6,1,6903.6,0.8,0.01,1.8,0.03,-0.7,-0.01,19.1,0.76
38,Exit short,2025-12-30 02:16,Safety Net,6904.9,1,6905.9,1,0.01,1.5,0.02,-1,-0.01,20.1,0.80
38,Entry short,2025-12-30 02:04,Short,6905.9,1,6905.9,1,0.01,1.5,0.02,-1,-0.01,20.1,0.80
39,Exit long,2025-12-30 03:01,Safety Net,6903.6,1,6903.1,0.5,0.01,1,0.01,-1.5,-0.02,20.6,0.82
