Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit long,2025-12-29 00:03,Exit Long,6931.4,1,6930.6,0.8,0.01,2,0.03,-0.1,0.00,0.8,0.03
1,Entry long,2025-12-29 00:02,Long,6930.6,1,6930.6,0.8,0.01,2,0.03,-0.1,0.00,0.8,0.03
2,Exit long,2025-12-29 00:18,Exit Long,6929.6,1,6930.1,-0.5,-0.01,0.7,0.01,-0.5,-0.01,0.3,0.01
2,Entry long,2025-12-29 00:17,Long,6930.1,1,6930.1,-0.5,-0.01,0.7,0.01,-0.5,-0.01,0.3,0.01
3,Exit long,2025-12-29 00:27,Exit Long,6930.9,1,6930.6,0.3,0.00,1.5,0.02,-0.3,0.00,0.6,0.02
3,Entry long,2025-12-29 00:20,Long,6930.6,1,6930.6,0.3,0.00,1.5,0.02,-0.3,0.00,0.6,0.02
4,Exit short,2025-12-29 00:55,Exit Short,6934.6,1,6933.9,-0.7,-0.01,0.6,0.01,-2.2,-0.03,-0.1,0.00
4,Entry short,2025-12-29 00:43,Short,6933.9,1,6933.9,-0.7,-0.01,0.6,0.01,-2.2,-0.03,-0.1,0.00
5,Exit short,2025-12-29 01:14,Exit Short,6933.8,1,6936.6,2.8,0.04,4,0.06,0,0.00,2.7,0.11
5,Entry short,2025-12-29 01:01,Short,6936.6,1,6936.6,2.8,0.04,4,0.06,0,0.00,2.7,0.11
6,Exit long,2025-12-29 01:33,Exit Long,6930.4,1,6930.6,-0.2,0.00,1,0.01,-0.2,0.00,2.5,0.10
6,Entry long,2025-12-29 01:31,Long,6930.6,1,6930.6,-0.2,0.00,1,0.01,-0.2,0.00,2.5,0.10
7,Exit long,2025-12-29 01:49,Exit Long,6928.4,1,6927.8,0.6,0.01,1.8,0.03,-0.2,0.00,3.1,0.12
7,Entry long,2025-12-29 01:42,Long,6927.8,1,6927.8,0.6,0.01,1.8,0.03,-0.2,0.00,3.1,0.12
8,Exit long,2025-12-29 02:10,Exit Long,6926.9,1,6926.7,0.2,0.00,1.4,0.02,-0.4,-0.01,3.3,0.13
8,Entry long,2025-12-29 01:59,Long,6926.7,1,6926.7,0.2,0.00,1.4,0.02,-0.4,-0.01,3.3,0.13
9,Exit long,2025-12-29 02:57,Exit Long,6926.9,1,6926.6,0.3,0.00,1.5,0.02,-1.5,-0.02,3.6,0.14
9,Entry long,2025-12-29 02:20,Long,6926.6,1,6926.6,0.3,0.00,1.5,0.02,-1.5,-0.02,3.6,0.14
10,Exit short,2025-12-29 03:29,Exit Short,6926.3,1,6928.1,1.8,0.03,3,0.04,-0.5,-0.01,5.4,0.22
10,Entry short,2025-12-29 03:08,Short,6928.1,1,6928.1,1.8,0.03,3,0.04,-0.5,-0.01,5.4,0.22
11,Exit short,2025-12-29 05:02,Exit Short,6926.4,1,6928.6,2.2,0.03,3.4,0.05,-3,-0.04,7.6,0.30
11,Entry short,2025-12-29 03:42,Short,6928.6,1,6928.6,2.2,0.03,3.4,0.05,-3,-0.04,7.6,0.30
12,Exit long,2025-12-29 05:04,Exit Long,6925.8,1,6926.1,-0.3,0.00,0.9,0.01,-0.3,0.00,7.3,0.29
12,Entry long,2025-12-29 05:03,Long,6926.1,1,6926.1,-0.3,0.00,0.9,0.01,-0.3,0.00,7.3,0.29
13,Exit long,2025-12-29 05:57,Exit Long,6925.1,1,6925.1,0,0.00,1.2,0.02,-1.8,-0.03,7.3,0.29
13,Entry long,2025-12-29 05:11,Long,6925.1,1,6925.1,0,0.00,1.2,0.02,-1.8,-0.03,7.3,0.29
14,Exit long,2025-12-29 06:28,Exit Long,6927.6,1,6923.7,3.9,0.06,5.1,0.07,-0.6,-0.01,11.2,0.45
14,Entry long,2025-12-29 06:04,Long,6923.7,1,6923.7,3.9,0.06,5.1,0.07,-0.6,-0.01,11.2,0.45
15,Exit short,2025-12-29 06:31,Exit Short,6927.8,1,6927.6,-0.2,0.00,1,0.01,-0.7,-0.01,11,0.44
15,Entry short,2025-12-29 06:29,Short,6927.6,1,6927.6,-0.2,0.00,1,0.01,-0.7,-0.01,11,0.44
16,Exit long,2025-12-29 07:02,Exit Long,6924.1,1,6923.7,0.4,0.01,1.6,0.02,-0.4,-0.01,11.4,0.46
16,Entry long,2025-12-29 06:57,Long,6923.7,1,6923.7,0.4,0.01,1.6,0.02,-0.4,-0.01,11.4,0.46
17,Exit long,2025-12-29 07:14,Exit Long,6921.2,1,6921.6,-0.4,-0.01,0.8,0.01,-0.4,-0.01,11,0.44
17,Entry long,2025-12-29 07:10,Long,6921.6,1,6921.6,-0.4,-0.01,0.8,0.01,-0.4,-0.01,11,0.44
18,Exit long,2025-12-29 07:38,Exit Long,6923.5,1,6920.2,3.3,0.05,4.5,0.07,-0.3,0.00,14.3,0.57
18,Entry long,2025-12-29 07:22,Long,6920.2,1,6920.2,3.3,0.05,4.5,0.07,-0.3,0.00,14.3,0.57
19,Exit long,2025-12-29 08:03,Exit Long,6920,1,6919.5,0.5,0.01,1.7,0.02,-0.4,-0.01,14.8,0.59
19,Entry long,2025-12-29 08:02,Long,6919.5,1,6919.5,0.5,0.01,1.7,0.02,-0.4,-0.01,14.8,0.59
20,Exit long,2025-12-29 08:08,Exit Long,6918.2,1,6918.7,-0.5,-0.01,0.7,0.01,-0.5,-0.01,14.3,0.57
20,Entry long,2025-12-29 08:07,Long,6918.7,1,6918.7,-0.5,-0.01,0.7,0.01,-0.5,-0.01,14.3,0.57
21,Exit long,2025-12-29 08:18,Exit Long,6920,1,6918.7,1.3,0.02,2.5,0.04,-0.2,0.00,15.6,0.62
21,Entry long,2025-12-29 08:15,Long,6918.7,1,6918.7,1.3,0.02,2.5,0.04,-0.2,0.00,15.6,0.62
22,Exit long,2025-12-29 08:52,Exit Long,6911.1,1,6919.4,-8.3,-0.12,0.2,0.00,-8.3,-0.12,7.3,0.29
22,Entry long,2025-12-29 08:27,Long,6919.4,1,6919.4,-8.3,-0.12,0.2,0.00,-8.3,-0.12,7.3,0.29
23,Exit long,2025-12-29 09:02,Exit Long,6913.7,1,6911.2,2.5,0.04,3.7,0.05,-0.3,0.00,9.8,0.39
23,Entry long,2025-12-29 08:58,Long,6911.2,1,6911.2,2.5,0.04,3.7,0.05,-0.3,0.00,9.8,0.39
24,Exit short,2025-12-29 10:23,Exit Short,6916.3,1,6916.6,0.3,0.00,1.5,0.02,-2.3,-0.03,10.1,0.40
24,Entry short,2025-12-29 10:13,Short,6916.6,1,6916.6,0.3,0.00,1.5,0.02,-2.3,-0.03,10.1,0.40
25,Exit long,2025-12-29 11:00,Exit Long,6914.4,1,6914.9,-0.5,-0.01,0.7,0.01,-0.5,-0.01,9.6,0.38
25,Entry long,2025-12-29 10:57,Long,6914.9,1,6914.9,-0.5,-0.01,0.7,0.01,-0.5,-0.01,9.6,0.38
26,Exit long,2025-12-29 11:03,Exit Long,6914.7,1,6914.9,-0.2,0.00,1,0.01,-0.3,0.00,9.4,0.38
26,Entry long,2025-12-29 11:01,Long,6914.9,1,6914.9,-0.2,0.00,1,0.01,-0.3,0.00,9.4,0.38
27,Exit long,2025-12-29 11:23,Exit Long,6913,1,6913.5,-0.5,-0.01,0.7,0.01,-1.1,-0.02,8.9,0.36
27,Entry long,2025-12-29 11:19,Long,6913.5,1,6913.5,-0.5,-0.01,0.7,0.01,-1.1,-0.02,8.9,0.36
28,Exit long,2025-12-29 11:47,Exit Long,6917.7,1,6913.1,4.6,0.07,5.8,0.08,-0.7,-0.01,13.5,0.54
28,Entry long,2025-12-29 11:26,Long,6913.1,1,6913.1,4.6,0.07,5.8,0.08,-0.7,-0.01,13.5,0.54
29,Exit short,2025-12-29 12:05,Exit Short,6916.8,1,6917.4,0.6,0.01,1.8,0.03,-1.2,-0.02,14.1,0.56
29,Entry short,2025-12-29 11:48,Short,6917.4,1,6917.4,0.6,0.01,1.8,0.03,-1.2,-0.02,14.1,0.56
30,Exit long,2025-12-29 13:47,Exit Long,6906.6,1,6914.9,-8.3,-0.12,0.5,0.01,-8.3,-0.12,5.8,0.23
30,Entry long,2025-12-29 12:39,Long,6914.9,1,6914.9,-8.3,-0.12,0.5,0.01,-8.3,-0.12,5.8,0.23
31,Exit long,2025-12-29 13:52,Exit Long,6900.7,1,6901.1,-0.4,-0.01,0.8,0.01,-0.4,-0.01,5.4,0.22
