Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
1,Exit long,2025-12-29 07:03,Exit Long,6922.3,1,6930.6,-8.3,-0.12,6.5,0.09,-8.3,-0.12,-8.3,-0.33
1,Entry long,2025-12-29 00:02,Long,6930.6,1,6930.6,-8.3,-0.12,6.5,0.09,-8.3,-0.12,-8.3,-0.33
2,Exit long,2025-12-29 08:39,Exit Long,6913.9,1,6921.6,-7.7,-0.11,3.1,0.04,-7.7,-0.11,-16,-0.64
2,Entry long,2025-12-29 07:10,Long,6921.6,1,6921.6,-7.7,-0.11,3.1,0.04,-7.7,-0.11,-16,-0.64
3,Exit long,2025-12-29 13:47,Exit Long,6907.1,1,6915,-7.9,-0.11,3.9,0.06,-7.9,-0.11,-23.9,-0.96
3,Entry long,2025-12-29 08:42,Long,6915,1,6915,-7.9,-0.11,3.9,0.06,-7.9,-0.11,-23.9,-0.96
4,Exit long,2025-12-29 14:36,Exit Long,6909.4,1,6901.1,8.3,0.12,8.3,0.12,-6.5,-0.09,-15.6,-0.62
4,Entry long,2025-12-29 13:52,Long,6901.1,1,6901.1,8.3,0.12,8.3,0.12,-6.5,-0.09,-15.6,-0.62
5,Exit short,2025-12-29 14:45,Exit Short,6907.9,1,6915.1,7.2,0.10,7.2,0.10,-0.5,-0.01,-8.4,-0.34
5,Entry short,2025-12-29 14:40,Short,6915.1,1,6915.1,7.2,0.10,7.2,0.10,-0.5,-0.01,-8.4,-0.34
6,Exit long,2025-12-29 15:26,Exit Long,6907.6,1,6899.4,8.2,0.12,8.2,0.12,-3.5,-0.05,-0.2,-0.01
6,Entry long,2025-12-29 15:11,Long,6899.4,1,6899.4,8.2,0.12,8.2,0.12,-3.5,-0.05,-0.2,-0.01
7,Exit long,2025-12-29 17:26,Exit Long,6891.1,1,6899.4,-8.3,-0.12,4.7,0.07,-8.3,-0.12,-8.5,-0.34
7,Entry long,2025-12-29 16:09,Long,6899.4,1,6899.4,-8.3,-0.12,4.7,0.07,-8.3,-0.12,-8.5,-0.34
8,Exit long,2025-12-29 17:58,Exit Long,6898.4,1,6890.1,8.3,0.12,8.3,0.12,-0.5,-0.01,-0.2,-0.01
8,Entry long,2025-12-29 17:30,Long,6890.1,1,6890.1,8.3,0.12,8.3,0.12,-0.5,-0.01,-0.2,-0.01
9,Exit short,2025-12-29 18:35,Exit Short,6905.9,1,6897.4,-8.5,-0.12,1.5,0.02,-8.5,-0.12,-8.7,-0.35
9,Entry short,2025-12-29 18:00,Short,6897.4,1,6897.4,-8.5,-0.12,1.5,0.02,-8.5,-0.12,-8.7,-0.35
10,Exit short,2025-12-29 19:07,Exit Short,6896.6,1,6904.9,8.3,0.12,8.3,0.12,-0.5,-0.01,-0.4,-0.02
10,Entry short,2025-12-29 18:39,Short,6904.9,1,6904.9,8.3,0.12,8.3,0.12,-0.5,-0.01,-0.4,-0.02
11,Exit long,2025-12-29 19:32,Exit Long,6905.6,1,6897.9,7.7,0.11,7.7,0.11,-1,-0.01,7.3,0.29
11,Entry long,2025-12-29 19:09,Long,6897.9,1,6897.9,7.7,0.11,7.7,0.11,-1,-0.01,7.3,0.29
12,Exit short,2025-12-29 20:14,Exit Short,6913.4,1,6905.5,-7.9,-0.11,0.1,0.00,-7.9,-0.11,-0.6,-0.02
12,Entry short,2025-12-29 19:36,Short,6905.5,1,6905.5,-7.9,-0.11,0.1,0.00,-7.9,-0.11,-0.6,-0.02
13,Exit short,2025-12-29 20:54,Exit Short,6905.4,1,6913.6,8.2,0.12,8.2,0.12,-0.5,-0.01,7.6,0.30
13,Entry short,2025-12-29 20:17,Short,6913.6,1,6913.6,8.2,0.12,8.2,0.12,-0.5,-0.01,7.6,0.30
14,Exit long,2025-12-30 07:22,Exit Long,6898.9,1,6906.6,-7.7,-0.11,4,0.06,-7.7,-0.11,-0.1,0.00
14,Entry long,2025-12-29 20:56,Long,6906.6,1,6906.6,-7.7,-0.11,4,0.06,-7.7,-0.11,-0.1,0.00
15,Exit long,2025-12-30 08:36,Exit Long,6906.7,1,6898.9,7.8,0.11,7.8,0.11,-2.2,-0.03,7.7,0.31
15,Entry long,2025-12-30 07:25,Long,6898.9,1,6898.9,7.8,0.11,7.8,0.11,-2.2,-0.03,7.7,0.31
16,Exit short,2025-12-30 14:45,Exit Short,6898.2,1,6906.4,8.2,0.12,8.2,0.12,-3.8,-0.06,15.9,0.64
16,Entry short,2025-12-30 08:37,Short,6906.4,1,6906.4,8.2,0.12,8.2,0.12,-3.8,-0.06,15.9,0.64
17,Exit long,2025-12-30 14:50,Exit Long,6910.2,1,6902.1,8.1,0.12,8.1,0.12,-1.4,-0.02,24,0.96
17,Entry long,2025-12-30 14:47,Long,6902.1,1,6902.1,8.1,0.12,8.1,0.12,-1.4,-0.02,24,0.96
18,Exit short,2025-12-30 15:12,Exit Short,6899.4,1,6907.7,8.3,0.12,8.3,0.12,-6,-0.09,32.3,1.29
18,Entry short,2025-12-30 14:52,Short,6907.7,1,6907.7,8.3,0.12,8.3,0.12,-6,-0.09,32.3,1.29
19,Exit long,2025-12-30 16:01,Exit Long,6906.4,1,6898.2,8.2,0.12,8.2,0.12,-4.3,-0.06,40.5,1.62
19,Entry long,2025-12-30 15:17,Long,6898.2,1,6898.2,8.2,0.12,8.2,0.12,-4.3,-0.06,40.5,1.62
