timestamp,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2026-01-09 09:00:00,6916.6,6917.3,6916.1,6917.3,217,6915.908340000001,6916.608270000001,6915.4083900000005,6916.608270000001,6917.29166,6917.99173,6916.79161,6917.99173
2026-01-09 09:01:00,6917.1,6917.1,6915.8,6916.1,164,6916.40829,6916.40829,6915.1084200000005,6915.4083900000005,6917.79171,6917.79171,6916.49158,6916.79161
2026-01-09 09:02:00,6916.3,6916.6,6915.8,6916.6,138,6915.60837,6915.908340000001,6915.1084200000005,6915.908340000001,6916.99163,6917.29166,6916.49158,6917.29166
2026-01-09 09:03:00,6916.3,6916.8,6916.1,6916.1,96,6915.60837,6916.10832,6915.4083900000005,6915.4083900000005,6916.99163,6917.49168,6916.79161,6916.79161
2026-01-09 09:04:00,6916.2,6916.3,6915.3,6916.1,134,6915.50838,6915.60837,6914.60847,6915.4083900000005,6916.891619999999,6916.99163,6915.99153,6916.79161
2026-01-09 09:05:00,6916.2,6917.7,6916.2,6917.6,125,6915.50838,6917.0082299999995,6915.50838,6916.908240000001,6916.891619999999,6918.39177,6916.891619999999,6918.29176
2026-01-09 09:06:00,6917.3,6917.6,6916.6,6916.8,148,6916.608270000001,6916.908240000001,6915.908340000001,6916.10832,6917.99173,6918.29176,6917.29166,6917.49168
2026-01-09 09:07:00,6916.6,6917.3,6916.6,6917.1,133,6915.908340000001,6916.608270000001,6915.908340000001,6916.40829,6917.29166,6917.99173,6917.29166,6917.79171
2026-01-09 09:08:00,6916.9,6917.1,6916.3,6916.8,132,6916.20831,6916.40829,6915.60837,6916.10832,6917.591689999999,6917.79171,6916.99163,6917.49168
2026-01-09 09:09:00,6917.1,6917.3,6916.3,6916.6,133,6916.40829,6916.608270000001,6915.60837,6915.908340000001,6917.79171,6917.99173,6916.99163,6917.29166
