timestamp,open,high,low,close,ticks
2026-01-09 00:00:00,6922.3,6923.5,6921.9,6923.5,170
2026-01-09 00:01:00,6923.8,6924.0,6922.5,6922.8,184
2026-01-09 00:02:00,6922.9,6923.7,6922.8,6923.0,204
2026-01-09 00:03:00,6923.3,6923.8,6923.0,6923.3,172
2026-01-09 00:04:00,6923.0,6923.0,6922.3,6922.8,110
2026-01-09 00:05:00,6922.7,6922.8,6922.3,6922.5,105
2026-01-09 00:06:00,6922.7,6924.0,6922.7,6923.3,127
2026-01-09 00:07:00,6923.5,6923.7,6923.3,6923.3,65
2026-01-09 00:08:00,6923.5,6924.0,6923.3,6923.4,103
2026-01-09 00:09:00,6923.3,6923.5,6922.8,6922.8,93
2026-01-09 00:10:00,6923.0,6923.3,6922.0,6923.0,130
2026-01-09 00:11:00,6923.3,6923.8,6923.0,6923.5,73
2026-01-09 00:12:00,6923.8,6924.0,6923.4,6923.7,141
2026-01-09 00:13:00,6923.8,6924.3,6923.8,6923.8,103
2026-01-09 00:14:00,6923.9,6924.5,6923.9,6924.5,106
2026-01-09 00:15:00,6924.3,6924.5,6923.5,6924.5,127
2026-01-09 00:16:00,6924.8,6925.0,6924.0,6924.3,92
2026-01-09 00:17:00,6924.0,6924.3,6924.0,6924.0,84
2026-01-09 00:18:00,6923.8,6924.3,6923.5,6924.0,59
2026-01-09 00:19:00,6924.1,6924.3,6923.9,6924.0,47
2026-01-09 00:20:00,6924.3,6924.3,6924.0,6924.0,61
2026-01-09 00:21:00,6924.3,6925.5,6924.3,6925.5,83
2026-01-09 00:22:00,6925.4,6925.8,6925.0,6925.8,50
2026-01-09 00:23:00,6925.5,6925.5,6924.8,6925.0,60
2026-01-09 00:24:00,6924.8,6924.8,6923.8,6923.8,36
2026-01-09 00:25:00,6923.5,6923.8,6923.0,6923.0,44
2026-01-09 00:26:00,6922.8,6922.9,6921.8,6922.0,53
2026-01-09 00:27:00,6921.8,6922.8,6921.8,6922.8,84
2026-01-09 00:28:00,6923.0,6923.3,6922.8,6923.3,34
2026-01-09 00:29:00,6923.0,6923.8,6923.0,6923.8,98
2026-01-09 00:30:00,6924.0,6924.3,6923.3,6924.0,120
2026-01-09 00:31:00,6923.8,6924.0,6923.8,6924.0,48
2026-01-09 00:32:00,6924.3,6925.0,6924.3,6924.5,67
2026-01-09 00:33:00,6924.7,6924.8,6924.5,6924.5,80
2026-01-09 00:34:00,6924.3,6924.3,6923.8,6923.8,61
2026-01-09 00:35:00,6924.0,6924.0,6923.5,6923.8,44
2026-01-09 00:36:00,6924.0,6924.3,6923.3,6924.3,51
2026-01-09 00:37:00,6924.0,6924.8,6924.0,6924.8,90
2026-01-09 00:38:00,6924.5,6925.0,6924.3,6924.8,51
2026-01-09 00:39:00,6924.9,6925.0,6924.5,6924.5,48
2026-01-09 00:40:00,6924.7,6924.7,6923.5,6923.5,106
2026-01-09 00:41:00,6923.4,6924.0,6923.3,6924.0,49
2026-01-09 00:42:00,6924.3,6925.0,6924.0,6924.8,111
2026-01-09 00:43:00,6924.5,6925.0,6924.0,6924.0,60
2026-01-09 00:44:00,6924.3,6925.0,6924.3,6925.0,49
2026-01-09 00:45:00,6924.8,6924.9,6924.0,6924.0,89
2026-01-09 00:46:00,6923.8,6924.0,6923.3,6923.3,27
2026-01-09 00:47:00,6923.0,6923.8,6922.8,6923.0,77
2026-01-09 00:48:00,6923.3,6923.8,6923.0,6923.3,86
2026-01-09 00:49:00,6923.5,6923.5,6923.3,6923.3,64
2026-01-09 00:50:00,6923.5,6923.7,6923.0,6923.5,108
2026-01-09 00:51:00,6923.3,6923.3,6922.5,6922.5,74
2026-01-09 00:52:00,6922.7,6922.8,6922.3,6922.5,47
2026-01-09 00:53:00,6922.6,6922.8,6922.0,6922.0,84
2026-01-09 00:54:00,6922.3,6922.3,6921.2,6921.2,53
2026-01-09 00:55:00,6921.3,6921.3,6920.5,6920.5,81
2026-01-09 00:56:00,6920.8,6920.8,6920.5,6920.5,11
2026-01-09 00:57:00,6920.8,6921.0,6920.5,6920.5,70
2026-01-09 00:58:00,6920.0,6920.5,6919.7,6920.5,64
2026-01-09 00:59:00,6920.3,6920.3,6919.5,6919.8,46
2026-01-09 01:00:00,6919.5,6921.0,6919.3,6919.9,166
2026-01-09 01:01:00,6919.8,6920.8,6919.8,6920.3,68
2026-01-09 01:02:00,6920.0,6920.5,6919.8,6920.5,116
2026-01-09 01:03:00,6920.8,6921.0,6920.5,6920.5,94
2026-01-09 01:04:00,6920.8,6920.8,6919.8,6920.0,60
2026-01-09 01:05:00,6919.9,6921.3,6919.9,6921.3,122
2026-01-09 01:06:00,6921.5,6921.5,6920.3,6920.8,135
2026-01-09 01:07:00,6920.9,6920.9,6919.8,6920.0,135
2026-01-09 01:08:00,6920.3,6920.3,6919.3,6920.3,147
2026-01-09 01:09:00,6920.0,6921.0,6920.0,6920.3,118
2026-01-09 01:10:00,6920.0,6920.5,6920.0,6920.3,57
